name,location,plz,city,rating_average,rating_count,operator
Mensa am Elsterbecken ,Marschnerstraße 29c,04109,Leipzig,"3,5",1.159,Studentenwerk Leipzig
Mensa Schönauer Straße ,Schönauer Straße 113a,04107,Leipzig,"3,4",256,Studentenwerk Leipzig
Mensa Academica ,Karl-Liebknecht-Straße 145,04277,Leipzig,"3,5",5.141,Studentenwerk Leipzig
Cafeteria Dittrichring ,Dittrichring 21,04109,Leipzig,"3,2",45,Studentenwerk Leipzig
Mensa RheinMoselCampus ,Konrad-Zuse-Straße 1,56075,Koblenz,"3,4",1.529,Studierendenwerk Koblenz
Mensa Bürgerstrasse ,Bürgerstraße 23,76829,Landau,"4,1",103,Studierendenwerk Vorderpfalz
Mensa Köthen ,Fasanerieallee 1a,06366,Köthen,"3,3",1.490,Studentenwerk Halle
Mensa DomCafete ,Am Domplatz 16,38820,Halberstadt,"3,8",165,Studentenwerk Magdeburg
Mensa Dessau ,Kleiststraße 2,06846,Dessau,"3,5",968,Studentenwerk Halle
Mensa Bernburg ,Strenzfelder Allee 20,06406,Bernburg,"3,5",1.881,Studentenwerk Halle
Mensa Heide ,Fritz-Thiedemann-Ring 20a,25746,Heide,"3,6",1.056,Studentenwerk Schleswig-Holstein
Mensa Weinberghof ,Weinberghof 4,99734,Nordhausen,"3,9",3.300,Studierendenwerk Thüringen
Mensa Weg der Freundschaft ,Weg der Freundschaft 4a,07546,Gera,"3,6",545,Studierendenwerk Thüringen
Mensa am Wartenberg ,Am Wartenberg 2,99817,Eisenach,"3,4",2.655,Studierendenwerk Thüringen
Mensa Weinberg ,Wolfgang-Langenbeck-Straße 3,06120,Halle (Saale),"3,6",4.486,Studentenwerk Halle
Mensa Tulpe ,Universitätsring 5,06108,Halle (Saale),"3,5",1.651,Studentenwerk Halle
Mensa Harz ,Harz 42,06108,Halle (Saale),"3,6",11.072,Studentenwerk Halle
Mensa Franckesche Stiftungen ,Franckeplatz 1,06110,Halle (Saale),"3,5",3.823,Studentenwerk Halle
Heidemensa ,Theodor-Lieser-Straße 7,06120,Halle (Saale),"3,6",4.911,Studentenwerk Halle
Mensa Neuwerk ,Neuwerk 7,06114,Halle (Saale),"3,5",1.145,Studentenwerk Halle
Mensa Burg ,Seebener Straße 1,06114,Halle (Saale),"3,5",191,Studentenwerk Halle
Mensa Lübeck ,Mönkhofer Weg 241,23562,Lübeck,"3,5",3.812,Studentenwerk Schleswig-Holstein
Mensa II ,Leibnizstraße 14,24118,Kiel,"3,4",6.979,Studentenwerk Schleswig-Holstein
Mensa I am Westring ,Westring 385,24118,Kiel,"3,4",11.031,Studentenwerk Schleswig-Holstein
Mensa Flensburg ,Kanzleistraße 94,24941,Flensburg,"3,3",2.808,Studentenwerk Schleswig-Holstein
Cafeteria B-Gebäude ,Kanzleistrae 91A,24943,Flensburg,,,Studentenwerk Schleswig-Holstein
Mensa Philosophenweg ,Philosophenweg 20,07743,Jena,"3,7",9.834,Studierendenwerk Thüringen
NANOteria ,Gustav-Kirchhoff-Straße 5,98693,Ilmenau,"3,5",121,Studierendenwerk Thüringen
Mensa Ehrenberg ,Max-Planck-Ring 1,98693,Ilmenau,"3,7",7.697,Studierendenwerk Thüringen
Mensa Nordhäuser Straße ,Nordhäuser Straße 63,99089,Erfurt,"3,5",9.371,Studierendenwerk Thüringen
Mensa Altonaer Straße ,Altonaer Straße 25,99089,Erfurt,"3,7",2.292,Studierendenwerk Thüringen
Cafeteria Schlüterstraße ,Schlüterstraße 1,99089,Erfurt,"3,5",790,Studierendenwerk Thüringen
Cafeteria Leipziger Straße ,Leipziger Straße 77,99089,Erfurt,"3,4",170,Studierendenwerk Thüringen
Cafeteria Mensa Ehrenberg ,Max-Planck-Ring 1,98693,Ilmenau,"3,6",1.326,Studierendenwerk Thüringen
Cafeteria im Röntgenbau ,Weimarer Straße 25,98693,Ilmenau,"3,8",386,Studierendenwerk Thüringen
Mensa Ernst-Abbe-Platz ,Ernst-Abbe-Platz 8,07743,Jena,"3,7",28.779,Studierendenwerk Thüringen
Cafeteria Zur Rosen ,Johannisstraße 13,07743,Jena,"3,9",1.034,Studierendenwerk Thüringen
Cafeteria Uni-Hauptgebäude ,Schlossgasse 1,07743,Jena,"3,8",3.442,Studierendenwerk Thüringen
Cafeteria Bibliothek ,Bibliotheksplatz 2,07743,Jena,"3,4",184,Studierendenwerk Thüringen
Mensa Moritz-von-Rohr-Straße ,Moritz-von-Rohr-Straße 2,07745,Jena,"3,7",4.100,Studierendenwerk Thüringen
Mensa Carl-Zeiss-Promenade ,Carl-Zeiss-Promenade 6,07745,Jena,"3,6",7.661,Studierendenwerk Thüringen
Mensa Dockside ,Kaiserstraße 2,24143,Kiel,"3,6",820,Studentenwerk Schleswig-Holstein
Mensa Kesselhaus ,Legienstraße 35,24103,Kiel,"3,5",761,Studentenwerk Schleswig-Holstein
Schwentine-Mensa ,Grenzstraße 14,24149,Kiel,"3,6",2.352,Studentenwerk Schleswig-Holstein
Boje 23 ,Heikendorfer Weg 89,24149,Kiel,,,Studentenwerk Schleswig-Holstein
American Diner ,Sokratesplatz 6,24149,Kiel,"3,2",35,Studentenwerk Schleswig-Holstein
Cafeteria Musikhochschule ,Große Petersgrube 17-19,23552,Lübeck,"3,5",290,Studentenwerk Schleswig-Holstein
