name,location,plz,city,rating_average,rating_count,operator
Mensateria Gastwirtschaft zum Adler Triesdorf ,Markgrafenstraße 14,91746,Weidenbach,"3,8",42,Studierendenwerk Erlangen-Nürnberg
Mensa Weiden ,Hetzenrichter Weg 15,92637,Weiden,"3,3",604,Studierendenwerk Oberfranken
Mensa TUM Straubing ,Schulgasse 16,94315,Straubing,"4,0",628,Studentenwerk Niederbayern/Oberpfalz
Mensa am Adenauerring ,Adenauerring 7,76131,Karlsruhe,"3,6",13.978,Studierendenwerk Karlsruhe
Mensa Moltke ,Moltkestraße 12,76133,Karlsruhe,"3,3",1.293,Studierendenwerk Karlsruhe
Mensa an der Hochschule Heilbronn ,Max-Planck-Straße 39,74081,Heilbronn,"3,4",149,Studierendenwerk Heidelberg
Mensa am Bildungscampus ,Bildungscampus 4,74076,Heilbronn,"3,2",182,Studierendenwerk Heidelberg
Zeughaus-Mensa im Marstall ,Marstallhof 3,69117,Heidelberg,"3,6",201,Studierendenwerk Heidelberg
Zentralmensa ,Im Neuenheimer Feld 304,69120,Heidelberg,"3,6",7.294,Studierendenwerk Heidelberg
Triplex-Mensa am Uniplatz ,Grabengasse 14,69117,Heidelberg,"3,5",1.252,Studierendenwerk Heidelberg
Caféteria Moltkestraße 30 ,Moltkestraße 30,76133,Karlsruhe,"3,2",53,Studierendenwerk Karlsruhe
Mensa Schloss Gottesaue ,Am Schloss Gottesaue 7,76131,Karlsruhe,"3,0",46,Studierendenwerk Karlsruhe
Mensa Rempartstraße ,Rempartstraße 18,79098,Freiburg,"3,8",41.188,Studierendenwerk Freiburg
Mensa Institutsviertel ,Stefan-Meier-Straße 28,79104,Freiburg,"3,7",15.096,Studierendenwerk Freiburg
Mensa Flugplatz ,Georges-Köhler-Allee 82,79110,Freiburg,"3,6",1.465,Studierendenwerk Freiburg
Mensa Littenweiler ,Kunzenweg 29,79117,Freiburg,"3,7",2.623,Studierendenwerk Freiburg
Mensa Aalen ,Beethovenstraße 15,73430,Aalen,,,Studierendenwerk Ulm
Cafeteria am Burren ,Anton-Huber-Straße 10,73430,Aalen,,,Studierendenwerk Ulm
Musikantine ,Mendelssohn-Bartholdy-Platz 1,79102,Freiburg,"3,7",109,Studierendenwerk Freiburg
Ausgabestelle EH Freiburg ,Bugginger 38,79114,Freiburg,"3,2",94,Studierendenwerk Freiburg
Mensa Erzbergerstraße ,Erzbergerstraße 121,76133,Karlsruhe,"2,8",1.728,Studierendenwerk Karlsruhe
Mensa Schweinfurt ,Ignaz-Schön-Straße 11,97421,Schweinfurt,"3,1",2.106,Studierendenwerk Würzburg
StuBistro Rosenheim ,Hochschulstraße 1,83024,Rosenheim,"3,5",995,Studierendenwerk München Oberbayern
StuBistro Oberschleißheim ,Sonnenstraße 16a,85764,Oberschleißheim,"3,9",116,Studierendenwerk München Oberbayern
Mensa Neu-Ulm ,Wileystraße 1,89231,Neu-Ulm,"3,4",1.823,Studentenwerk Augsburg
Mensa Münchberg ,Kulmbacher Straße 76,95213,Münchberg,"3,4",138,Studierendenwerk Oberfranken
Mensa Landshut ,Am Lurzenhof 1,84036,Landshut,"3,4",1.586,Studentenwerk Niederbayern/Oberpfalz
Mensa Kulmbach ,Hans-Hacker-Straße 10,95326,Kulmbach,"3,8",56,Studierendenwerk Oberfranken
Mensa Kronach ,Güterstraße 5,96317,Kronach,"3,8",35,Studierendenwerk Oberfranken
Mensa Kempten ,Bahnhofstraße 61,87435,Kempten,"3,4",6.236,Studentenwerk Augsburg
Mensa Ingolstadt ,Esplanade 10,85049,Ingolstadt,"3,3",665,Studierendenwerk Erlangen-Nürnberg
Mensa Hof ,Wirthstraße 51,95028,Hof,"3,6",4.237,Studierendenwerk Oberfranken
Mensa Uni Regensburg ,Albertus-Magnus-Straße 2,93053,Regensburg,"3,5",40.494,Studentenwerk Niederbayern/Oberpfalz
Mensa Passau ,Innstraße 29,94032,Passau,"3,4",24.222,Studentenwerk Niederbayern/Oberpfalz
Cafeteria Nikolakloster ,Innstraße 40,94032,Passau,"3,3",146,Studentenwerk Niederbayern/Oberpfalz
Mensateria Ohm ,Wollentorstraße 4,90409,Nürnberg,"3,4",4.577,Studierendenwerk Erlangen-Nürnberg
Cafeteria Hohfederstraße ,Hohfederstraße 40,90489,Nürnberg,"3,6",204,Studierendenwerk Erlangen-Nürnberg
StuCafé Arcisstraße 21 ,Arcisstraße 21,80333,München,,,Studierendenwerk München Oberbayern
StuBistro Olympiacampus ,Am Olympiacampus 11,80809,München,"3,7",54,Studierendenwerk München Oberbayern
StuBistro Martinsried ,Großhaderner Straße 9a,82152,Planegg-Martinsried,"3,6",197,Studierendenwerk München Oberbayern
